"id_curriculo";"codigo";"nome_matriz";"id_curso";"nome_curso";"semestre_conclusao_minimo";"semestre_conclusao_ideal";"semestre_conclusao_maximo";"meses_conclusao_minimo";"meses_conclusao_ideal";"meses_conclusao_maximo";"cr_total_minimo";"ch_total_minima";"ch_optativas_minima";"ch_complementar_minima";"max_eletivos";"ch_nao_atividade_obrigatoria";"cr_nao_atividade_obrigatorio";"ch_atividade_obrigatoria";"cr_minimo_semestre";"cr_ideal_semestre";"cr_maximo_semestre";"ch_minima_semestre";"ch_ideal_semestre";"ch_maxima_semestre";"periodo_entrada_vigor";"ano_entrada_vigor";"observacao"
"95617859";"01";"GESTÃO PÚBLICA - CAICÓ - I - TECNOLÓGICO";"92017023";"GESTÃO PÚBLICA";"5";"5";"6";"";"";"";"114";"1710";"0";"0";"240";"1710";"114";"0";"6";"24";"26";"240";"";"0";"1";"2013";""
"129841126";"MFC2018";"";"93262777";"PROGRAMA DE RESIDÊNCIA MÉDICA EM MEDICINA DA FAMÍLIA E COMUNIDADE";"";"";"";"";"";"";"0";"5640";"0";"";"0";"0";"0";"0";"";"";"";"0";"";"";"1";"2018";""
"151090618";"04";"ENGENHARIA DE MATERIAIS - NATAL - MT";"2000027";"ENGENHARIA DE MATERIAIS";"10";"10";"14";"";"";"";"80";"3680";"420";"190";"600";"2820";"80";"250";"";"";"";"";"";"0";"1";"2021";""
"118994646";"M2016";"";"91805256";"MESTRADO EM CIÊNCIAS CLIMÁTICAS";"12";"24";"24";"12";"24";"24";"20";"315";"60";"";"0";"240";"16";"15";"";"";"";"1";"";"";"2";"2016";""
"131750215";"RPDHUAB";"";"93262776";"PROGRAMA DE RESIDÊNCIA MÉDICA EM PEDIATRIA";"";"";"";"";"";"";"0";"5760";"0";"";"0";"577";"0";"5183";"";"";"";"0";"";"";"1";"2018";""
"129796929";"2017";"";"114941932";"MESTRADO PROFISSIONAL EM ENSINO DE FÍSICA EM REDE NACIONAL";"12";"";"24";"12";"";"24";"32";"480";"120";"";"0";"360";"24";"0";"";"";"";"0";"";"";"1";"2017";""
"130300830";"DOUT17";"";"108847150";"DOUTORADO EM ENSINO DE CIÊNCIAS E MATEMÁTICA";"24";"";"48";"24";"";"48";"12";"420";"90";"";"0";"330";"6";"0";"";"";"";"0";"";"";"2";"2017";""
"129618436";"CIR2018";"";"116724072";"RESIDÊNCIA MÉDICA EM CIRURGIA GERAL/RESCIRG/EMCM";"";"";"";"";"";"";"0";"5760";"0";"";"0";"0";"0";"0";"";"";"";"0";"";"";"1";"2018";""
"139778396";"05";"NUTRIÇÃO - NATAL - MT - FORMAÇÃO";"2000058";"NUTRIÇÃO";"10";"10";"15";"";"";"";"86";"4000";"400";"200";"600";"2520";"86";"880";"";"";"";"30";"";"600";"1";"2020";""
"126121649";"2018";"";"5036031";"RESIDÊNCIA MÉDICA EM ENDOCRINOLOGIA";"";"";"";"";"";"";"0";"5520";"0";"";"0";"480";"0";"5040";"";"";"";"0";"";"";"1";"2018";""
"130365421";"2018";"";"5036023";"RESIDÊNCIA EM CIRURGIA E TRAUMATOLOGIA BUCO-MAXILO-FACIAIS";"";"";"";"";"";"";"0";"8610";"0";"";"0";"780";"0";"7830";"";"";"";"0";"";"";"1";"2018";""
"132508174";"DERHUOL";"";"5036030";"RESIDÊNCIA MÉDICA EM DERMATOLOGIA";"";"";"";"";"";"";"0";"8640";"0";"";"0";"0";"0";"0";"";"";"";"0";"";"";"1";"2018";""
"151543388";"MEST21";"";"315737";"MESTRADO EM PSICOLOGIA";"12";"";"24";"12";"";"24";"4";"270";"60";"";"0";"150";"0";"60";"";"";"";"";"";"";"1";"2021";""
"134976532";"GTRHUOL";"";"134975375";"RESIDÊNCIA MÉDICA EM GASTROENTEROLOGIA";"";"";"";"";"";"";"0";"6160";"0";"";"0";"576";"0";"5584";"";"";"";"0";"";"";"1";"2019";""
"134997772";"GEO2019";"";"134098682";"MESTRADO EM GEOGRAFIA - CERES";"12";"";"24";"12";"";"24";"22";"360";"270";"";"0";"60";"4";"30";"";"";"";"0";"";"";"1";"2019";""
"136521167";"CARHUOL";"";"5036026";"RESIDÊNCIA MÉDICA EM CARDIOLOGIA";"";"";"";"";"";"";"0";"5760";"0";"";"0";"420";"0";"5340";"";"";"";"0";"";"";"1";"2019";""
"149656396";"01";"ADMINISTRAÇÃO PÚBLICA - NATAL - N";"149654895";"ADMINISTRAÇÃO PÚBLICA";"8";"8";"12";"";"";"";"8";"3000";"780";"180";"60";"1980";"8";"60";"";"";"";"";"";"0";"1";"2021";""
"131558756";"GO-MEJC";"";"5036038";"RESIDÊNCIA MÉDICA EM GINECOLOGIA E OBSTETRÍCIA";"";"";"";"";"";"";"0";"8640";"0";"";"0";"1212";"0";"7592";"";"";"";"0";"";"";"1";"2018";""
"91477917";"MP01";"";"91477182";"MESTRADO PROFISSIONAL EM ARQUITETURA, PROJETO E MEIO AMBIENTE";"18";"24";"24";"18";"24";"24";"0";"255";"0";"";"0";"255";"0";"0";"1";"8";"12";"0";"";"";"2";"2010";""
"131051103";"URO2018";"";"5036037";"RESIDÊNCIA MÉDICA EM UROLOGIA";"";"";"";"";"";"";"0";"8400";"0";"";"0";"354";"0";"8046";"";"";"";"0";"";"";"1";"2018";""
"121627123";"ITE17";"";"121508460";"MESTRADO PROFISSIONAL EM INOVAÇÃO EM TECNOLOGIAS EDUCACIONAIS";"12";"24";"24";"12";"24";"24";"12";"360";"180";"";"0";"180";"0";"0";"";"";"";"0";"";"";"1";"2017";""
"123438351";"02";"";"11519550";"MESTRADO EM ESTUDOS DA MÍDIA";"12";"24";"30";"12";"24";"24";"26";"390";"90";"";"0";"300";"20";"0";"";"";"";"0";"";"";"1";"2017";""
"136013551";"ECL19M";"";"9513330";"MESTRADO EM ECOLOGIA";"12";"";"24";"12";"";"24";"7";"315";"105";"";"0";"210";"0";"0";"";"";"";"0";"";"";"1";"2019";""
"151537969";"DOUT21";"";"147308656";"DOUTORADO PROFISSIONAL EM SAUDE DA FAMILIA";"24";"";"48";"24";"";"48";"34";"1034";"270";"";"0";"240";"16";"524";"";"";"";"";"";"";"1";"2021";""
"150613606";"RAD2021";"";"5036036";"RESIDÊNCIA MÉDICA EM RADIOLOGIA";"";"";"";"";"";"";"0";"8640";"0";"";"0";"0";"0";"0";"";"";"";"0";"";"";"1";"2021";""
"99508764";"05";"";"315779";"MESTRADO EM DIREITO";"12";"24";"24";"12";"24";"24";"30";"450";"270";"";"0";"180";"12";"0";"1";"16";"30";"0";"";"";"2";"2013";""
"122313218";"FST-D17";"";"95726200";"DOUTORADO EM FISIOTERAPIA";"24";"48";"48";"24";"48";"48";"36";"600";"360";"";"0";"240";"12";"0";"";"";"";"1";"";"";"1";"2017";""
"151253471";"DOUT21";"";"9285380";"DOUTORADO EM BIOQUÍMICA E BIOLOGIA MOLECULAR";"24";"";"48";"24";"";"48";"30";"450";"255";"";"0";"195";"13";"0";"";"";"";"";"";"";"1";"2021";""
"127185217";"mec18m";"";"315751";"MESTRADO EM ENGENHARIA MECÂNICA";"12";"24";"24";"12";"24";"24";"24";"360";"300";"";"0";"60";"4";"0";"";"";"";"0";"";"";"1";"2018";""
"146023411";"NNT2020";"";"5036041";"RESIDÊNCIA MÉDICA EM NEONATOLOGIA";"";"";"";"";"";"";"0";"5760";"0";"";"0";"0";"0";"0";"";"";"";"0";"";"";"1";"2020";""
"133039335";"POP19M";"";"50798281";"MESTRADO EM DEMOGRAFIA";"12";"";"24";"12";"";"24";"4";"390";"60";"";"0";"330";"0";"0";"";"";"";"0";"";"";"1";"2019";""
"95955514";"001";"";"95868917";"MESTRADO EM MÚSICA";"12";"24";"24";"12";"24";"24";"24";"360";"75";"";"0";"285";"19";"0";"1";"16";"32";"1";"";"";"1";"2013";""
"119177058";"02";"CIÊNCIAS E TECNOLOGIA - NATAL - MTN - BACHARELADO";"10320810";"CIÊNCIAS E TECNOLOGIA";"7";"7";"10";"";"";"";"0";"2400";"730";"120";"600";"1350";"0";"200";"180";"420";"480";"60";"";"0";"2";"2016";""
"115306301";"02";"CIÊNCIAS E TECNOLOGIA - NATAL - N - BACHARELADO";"10320810";"CIÊNCIAS E TECNOLOGIA";"7";"7";"10";"";"";"";"32";"2400";"240";"120";"600";"2040";"32";"0";"4";"24";"42";"60";"";"0";"1";"2016";""
"134976957";"GEDHUOL";"";"88337493";"RESIDÊNCIA MÉDICA EM GASTROENTEROLOGIA - ENDOSCOPIA DIGESTIVA";"";"";"";"";"";"";"0";"2880";"0";"";"0";"0";"0";"0";"";"";"";"0";"";"";"1";"2019";""
"115305512";"02";"CIÊNCIAS E TECNOLOGIA - NATAL - MT - BACHARELADO";"10320810";"CIÊNCIAS E TECNOLOGIA";"6";"6";"9";"";"";"";"32";"2400";"240";"120";"600";"2040";"32";"0";"4";"24";"42";"60";"";"0";"1";"2016";""
"137732764";"dCO/CL";"";"130260440";"DOUTORADO EM CIÊNCIAS ODONTOLÓGICAS";"24";"";"48";"24";"";"48";"22";"540";"330";"";"0";"210";"0";"0";"";"";"";"0";"";"";"2";"2018";""
"20849290";"01";"";"2060661";"RESIDÊNCIA MÉDICA EM UROLOGIA";"18";"24";"30";"";"";"";"0";"317";"0";"";"240";"0";"0";"317";"0";"0";"0";"200";"";"";"1";"2007";""
"132111265";"mpart2";"";"106146377";"MESTRADO PROFISSIONAL EM ARTES - PROFARTES";"12";"";"24";"12";"";"24";"8";"420";"120";"";"0";"300";"0";"0";"";"";"";"0";"";"";"2";"2018";""
"129993367";"06";"";"315735";"MESTRADO EM PSICOBIOLOGIA";"12";"";"24";"12";"";"24";"6";"315";"90";"";"0";"225";"0";"0";"";"";"";"0";"";"";"1";"2018";""
"151544157";"DOUT21";"";"17275730";"DOUTORADO EM PSICOLOGIA";"24";"";"48";"24";"";"48";"6";"390";"90";"";"0";"180";"0";"120";"";"";"";"";"";"";"1";"2021";""
"135411668";"GTES19";"";"133255820";"MESTRADO PROFISSIONAL EM GESTÃO, TRABALHO, EDUCAÇÃO E SAÚDE";"12";"";"24";"12";"";"24";"12";"360";"180";"";"0";"180";"0";"0";"";"";"";"0";"";"";"1";"2019";""
"127573809";"RCM2017";"";"116724073";"RESIDÊNCIA MÉDICA EM CLÍNICA MÉDICA/RESCLMED/EMCM";"";"";"";"";"";"";"0";"5760";"0";"";"0";"0";"0";"0";"";"";"";"0";"";"";"1";"2017";""
"126820854";"1A";"";"117522695";"RESIDENCIA EM ANESTESIOLOGIA/RESANES/HUAB";"";"";"";"";"";"";"0";"8600";"0";"";"0";"827";"0";"7773";"";"";"";"0";"";"";"1";"2017";""
"129011062";"MFC2018";"";"116724071";"RESIDÊNCIA MÉDICA EM MEDICINA DE FAMÍLIA E COMUNIDADE/RESMMFC/EMCM";"";"";"";"";"";"";"0";"5760";"0";"";"0";"0";"0";"0";"";"";"";"0";"";"";"1";"2018";""
"151253665";"MEST21";"";"315769";"MESTRADO EM BIOQUÍMICA E BIOLOGIA MOLECULAR";"12";"";"24";"12";"";"24";"20";"300";"135";"";"0";"165";"11";"0";"";"";"";"";"";"";"1";"2021";""
"133797961";"03";"TECNOLOGIA DA INFORMAÇÃO - NATAL - N - BACHARELADO";"92127264";"TECNOLOGIA DA INFORMAÇÃO";"9";"9";"13";"";"";"";"0";"2600";"1200";"140";"600";"1260";"0";"0";"";"";"";"30";"";"420";"1";"2019";""
"136916099";"RMI2019";"";"116724074";"RESIDÊNCIA EM SAÚDE MATERNO-INFANTIL/RESSMI/EMCM";"";"";"";"";"";"";"0";"5578";"0";"";"0";"390";"0";"4773";"";"";"";"0";"";"";"1";"2019";""
"104458277";"ARQ14D";"";"315767";"DOUTORADO EM ARQUITETURA E URBANISMO";"24";"48";"48";"24";"48";"48";"12";"180";"90";"";"0";"90";"6";"0";"1";"12";"24";"0";"";"";"1";"2014";""
"135321074";"Dout18";"";"84739891";"DOUTORADO EM SAÚDE COLETIVA";"24";"";"48";"24";"";"48";"28";"420";"420";"";"0";"0";"0";"0";"";"";"";"0";"";"";"2";"2018";""
"509855090";"001";"";"50839645";"MESTRADO EM SISTEMÁTICA E EVOLUÇÃO";"12";"24";"24";"12";"24";"24";"6";"360";"90";"";"0";"270";"0";"0";"1";"16";"20";"0";"";"";"1";"2011";""
"130026529";"ESP2018";"";"130026449";"RESIDÊNCIA ALUNOS ESPECIAIS PPG";"";"";"";"";"";"";"0";"210";"0";"";"0";"165";"0";"45";"";"";"";"0";"";"";"1";"2018";""
"136014403";"ECL19D";"";"9300592";"DOUTORADO EM ECOLOGIA";"24";"";"48";"24";"";"48";"6";"360";"90";"";"0";"270";"0";"0";"";"";"";"0";"";"";"1";"2019";""
"140686491";"RMN2020";"";"140686470";"RESIDÊNCIA MÉDICA EM NEFROLOGIA";"";"";"";"";"";"";"0";"5760";"0";"";"0";"372";"0";"5346";"";"";"";"0";"";"";"1";"2020";""
"105113512";"L002";"";"95868917";"MESTRADO EM MÚSICA";"12";"24";"24";"12";"24";"24";"24";"360";"75";"";"0";"285";"19";"0";"1";"16";"32";"1";"";"";"1";"2013";""
"139977";"01";"";"315730";"MESTRADO EM GEOCIÊNCIAS";"12";"24";"36";"";"";"";"0";"0";"0";"";"240";"0";"0";"0";"1";"12";"24";"";"0";"";"1";"1996";""
"140068";"MM";"";"315785";"MESTRADO EM MATEMÁTICA APLICADA E ESTATÍSTICA";"12";"24";"24";"12";"24";"24";"11";"165";"135";"";"240";"30";"2";"0";"2";"12";"16";"1";"0";"";"2";"2006";""
"115803290";"02";"CIÊNCIAS E TECNOLOGIA - NATAL - MTN - BACHARELADO";"10320810";"CIÊNCIAS E TECNOLOGIA";"7";"7";"10";"";"";"";"36";"2400";"240";"120";"600";"2040";"36";"0";"4";"24";"32";"60";"";"0";"1";"2016";""
"139956";"01";"";"315768";"MESTRADO EM BIOECOLOGIA AQUÁTICA";"12";"24";"30";"";"";"";"0";"0";"0";"";"240";"0";"0";"0";"1";"12";"99";"";"0";"";"0";"0";""
"137734884";"dCO/BI";"";"130260440";"DOUTORADO EM CIÊNCIAS ODONTOLÓGICAS";"24";"";"48";"24";"";"48";"20";"540";"300";"";"0";"240";"0";"0";"";"";"";"0";"";"";"2";"2018";""
"134575061";"OTGHUOL";"";"5036046";"RESIDÊNCIA MÉDICA EM OTORRINOLARINGOLOGIA";"";"";"";"";"";"";"0";"8675";"0";"";"0";"354";"0";"8286";"";"";"";"0";"";"";"1";"2019";""
"134977008";"GHPHUOL";"";"88337494";"RESIDÊNCIA MÉDICA EM GASTROENTEROLOGIA - HEPATOLOGIA";"";"";"";"";"";"";"0";"2880";"0";"";"0";"0";"0";"0";"";"";"";"0";"";"";"1";"2019";""
"129993616";"04";"";"315736";"DOUTORADO EM PSICOBIOLOGIA";"24";"";"48";"24";"";"48";"2";"150";"30";"";"0";"120";"0";"0";"";"";"";"0";"";"";"1";"2018";""
"140031";"02";"";"315755";"MESTRADO EM ENGENHARIA SANITÁRIA E AMBIENTAL";"12";"24";"24";"12";"24";"24";"24";"360";"180";"";"240";"180";"12";"0";"1";"21";"30";"1";"0";"";"1";"2005";""
"86369001";"MSS1";"";"315741";"MESTRADO EM SERVIÇO SOCIAL";"12";"24";"24";"12";"24";"24";"20";"300";"120";"";"0";"180";"12";"0";"3";"12";"24";"1";"";"";"2";"2011";""
"124767317";"PQT2017";"";"5036035";"RESIDÊNCIA MÉDICA EM PSIQUIATRIA";"";"";"";"";"";"";"0";"8662";"0";"";"0";"1050";"0";"7612";"";"";"";"0";"";"";"1";"2017";""
"126769396";"GOB2018";"";"110378615";"RESIDÊNCIA MÉDICA EM GINECOLOGIA E OBSTETRÍCIA";"";"";"";"";"";"";"0";"8640";"0";"";"0";"867";"0";"7773";"";"";"";"0";"";"";"1";"2017";""
"140852569";"TI2020";"";"100181629";"MESTRADO PROFISSIONAL EM TECNOLOGIA DA INFORMAÇÃO";"12";"";"24";"12";"";"24";"24";"360";"330";"";"0";"30";"2";"0";"";"";"";"0";"";"";"1";"2020";""
"132983119";"POP19D";"";"132958656";"DOUTORADO EM DEMOGRAFIA";"24";"";"48";"24";"";"48";"10";"540";"150";"";"0";"390";"0";"0";"";"";"";"0";"";"";"1";"2019";""
"140690828";"RCM2020";"";"140690440";"PROGRAMA DE RESIDÊNCIA MÉDICA EM CLÍNICA MÉDICA";"";"";"";"";"";"";"0";"5760";"0";"";"0";"0";"0";"0";"";"";"";"0";"";"";"1";"2020";""
"140938136";"TUR-M";"";"507421";"MESTRADO EM TURISMO";"12";"";"24";"12";"";"24";"24";"360";"180";"";"0";"180";"12";"0";"";"";"";"0";"";"";"1";"2020";""
"121782311";"mest17";"";"315745";"MESTRADO EM EDUCAÇÃO";"12";"24";"24";"12";"24";"24";"14";"270";"90";"";"0";"120";"8";"60";"";"";"";"0";"";"";"1";"2017";""
"140416500";"PGEL";"";"315757";"MESTRADO EM ESTUDOS DA LINGUAGEM";"12";"";"24";"12";"";"24";"40";"780";"150";"";"0";"450";"30";"180";"";"";"";"0";"";"";"1";"2020";""
"140416945";"PGEL";"";"315758";"DOUTORADO EM ESTUDOS DA LINGUAGEM";"24";"";"48";"24";"";"48";"43";"960";"195";"";"0";"450";"30";"315";"";"";"";"0";"";"";"1";"2020";""
"135321203";"MESTR18";"";"84739860";"MESTRADO EM SAÚDE COLETIVA";"12";"";"24";"12";"";"24";"18";"270";"270";"";"0";"0";"0";"0";"";"";"";"0";"";"";"2";"2018";""
"51438889";"EDF01";"";"50980468";"MESTRADO EM EDUCAÇÃO FÍSICA";"12";"24";"24";"12";"24";"24";"24";"360";"150";"";"0";"210";"14";"0";"4";"12";"20";"1";"";"";"1";"2011";""
"139971";"01";"";"315727";"MESTRADO EM FÍSICA";"12";"24";"24";"12";"24";"24";"0";"0";"0";"";"240";"0";"0";"0";"1";"12";"99";"15";"0";"";"1";"2000";""
"108814104";"05";"MATEMÁTICA - NATAL - MT - BACHARELADO";"2000054";"MATEMÁTICA";"8";"8";"12";"";"";"";"146";"2580";"260";"130";"600";"2190";"146";"0";"2";"22";"34";"60";"";"0";"1";"2015";""
"150172153";"02";"LETRAS - LÍNGUA PORTUGUESA - CURRAIS NOVOS - TN - LICENCIATURA";"118922626";"LETRAS - LÍNGUA PORTUGUESA";"8";"8";"12";"";"";"";"0";"3110";"105";"200";"600";"2205";"0";"600";"1";"98";"99";"15";"";"0";"1";"2021";""
"140046";"4 ";"";"315776";"MESTRADO EM CIÊNCIAS SOCIAIS";"12";"24";"24";"12";"24";"24";"16";"240";"180";"";"240";"60";"4";"0";"1";"1";"99";"0";"0";"";"1";"2004";""
"115306807";"02";"CIÊNCIAS E TECNOLOGIA - NATAL - MT - BACHARELADO";"10320810";"CIÊNCIAS E TECNOLOGIA";"6";"6";"9";"";"";"";"0";"2400";"240";"120";"600";"2040";"0";"0";"4";"24";"42";"60";"";"0";"1";"2016";""
"133579275";"REUHUOL";"";"118776383";"PROGRAMA DE RESIDÊNCIA MÉDICA EM REUMATOLOGIA/RESREUM/HUOL";"";"";"";"";"";"";"0";"5760";"0";"";"0";"288";"0";"2292";"";"";"";"0";"";"";"1";"2018";""
"115307035";"02";"CIÊNCIAS E TECNOLOGIA - NATAL - N - BACHARELADO";"10320810";"CIÊNCIAS E TECNOLOGIA";"7";"7";"10";"";"";"";"0";"2400";"240";"120";"600";"2040";"0";"0";"4";"24";"42";"60";"";"0";"1";"2016";""
"131694511";"EG-MEJC";"";"5036033";"RESIDÊNCIA MÉDICA EM ENDOSCOPIA GINECOLÓGICA";"";"";"";"";"";"";"0";"2880";"0";"";"0";"0";"0";"0";"";"";"";"0";"";"";"1";"2018";""
"133692425";"OFTHUOL";"";"5036045";"RESIDÊNCIA MÉDICA EM OFTALMOLOGIA";"";"";"";"";"";"";"0";"8640";"0";"";"0";"0";"0";"0";"";"";"";"0";"";"";"1";"2018";""
"140944352";"TUR-D";"";"104910434";"DOUTORADO EM TURISMO";"24";"";"48";"24";"";"48";"36";"540";"330";"";"0";"210";"14";"0";"";"";"";"0";"";"";"1";"2020";""
"137734950";"dCO/PA";"";"130260440";"DOUTORADO EM CIÊNCIAS ODONTOLÓGICAS";"24";"";"48";"24";"";"48";"20";"540";"300";"";"0";"240";"0";"0";"";"";"";"0";"";"";"2";"2018";""
"150495538";"02";"MATEMÁTICA - NATAL - MTN - LICENCIATURA";"2000134";"MATEMÁTICA";"8";"8";"12";"";"";"";"181";"3200";"320";"170";"600";"2310";"181";"400";"";"";"";"";"";"590";"1";"2021";""
"139208926";"04";"GEOGRAFIA - NATAL - MTN - LICENCIATURA";"2671321";"GEOGRAFIA";"8";"8";"12";"";"";"";"132";"3260";"360";"200";"600";"1980";"132";"720";"";"";"";"60";"";"540";"1";"2020";""
"127472015";"04";"LETRAS - INGLÊS - NATAL - M";"118840295";"LETRAS - INGLÊS";"8";"8";"12";"";"";"";"127";"3200";"360";"200";"600";"1980";"127";"660";"";"";"";"60";"";"480";"1";"2018";""
"119342519";"ETIM001";"";"119342264";"MESTRADO PROFISSIONAL EM EDUCAÇÃO, TRABALHO E INOVAÇÃO EM MEDICINA";"12";"24";"24";"12";"24";"24";"6";"315";"90";"";"0";"225";"0";"0";"";"";"";"0";"";"";"2";"2016";""
"84869976";"01A";"GESTÃO PÚBLICA - NATAL - MTN - TECNOLÓGICO";"2000160";"GESTÃO PÚBLICA";"5";"5";"7";"";"";"";"0";"1800";"30";"";"240";"1680";"0";"90";"1";"99";"99";"15";"";"";"1";"2011";""
"135317069";"AB2019";"";"116724075";"RESIDÊNCIA EM ATENÇÃO BÁSICA/RESATBAS/EMCM";"";"";"";"";"";"";"0";"5760";"0";"";"0";"975";"0";"4245";"";"";"";"0";"";"";"1";"2019";""
"139173380";"01";"MÚSICA - NATAL - MT";"2000057";"MÚSICA";"8";"8";"12";"";"";"";"68";"3070";"1470";"160";"600";"1020";"68";"420";"";"";"";"30";"";"0";"1";"2018";""
"148773948";"DOUT21";"";"315728";"DOUTORADO EM FÍSICA";"24";"";"48";"24";"";"48";"28";"420";"120";"";"0";"300";"20";"0";"";"";"";"";"";"";"1";"2021";""
"137739432";"mCO/CL";"";"130260333";"MESTRADO EM CIÊNCIAS ODONTOLÓGICAS";"12";"";"24";"12";"";"24";"14";"390";"210";"";"0";"180";"0";"0";"";"";"";"0";"";"";"2";"2018";""
"148773515";"MEST21";"";"315727";"MESTRADO EM FÍSICA";"12";"";"24";"12";"";"24";"24";"360";"60";"";"0";"300";"20";"0";"";"";"";"";"";"";"1";"2021";""
"119510147";"01";"LETRAS - LÍNGUA PORTUGUESA E LIBRAS - NATAL - N";"118921874";"LETRAS - LÍNGUA PORTUGUESA E LIBRAS";"9";"9";"13";"";"";"";"68";"2920";"300";"200";"600";"2020";"68";"400";"";"";"";"180";"";"0";"2";"2016";""
"133667795";"MFCHUOL";"";"5036040";"RESIDÊNCIA MÉDICA EM MEDICINA DE FAMÍLIA E COMUNIDADE";"";"";"";"";"";"";"0";"5760";"0";"";"0";"576";"0";"4896";"";"";"";"0";"";"";"1";"2018";""
"135036378";"PCSHUOL";"";"135035650";"PROGRAMA DE RESIDÊNCIA EM ATENÇÃO PSICOSSOCIAL";"";"";"";"";"";"";"0";"5408";"0";"";"0";"320";"0";"5008";"";"";"";"0";"";"";"1";"2019";""
"96186211";"001";"";"96067713";"MESTRADO PROFISSIONAL EM ENERGIA ELÉTRICA";"18";"24";"24";"18";"24";"24";"16";"360";"240";"";"0";"120";"0";"0";"1";"16";"24";"0";"";"";"1";"2013";""
"141017507";"CASM_1";"";"140178600";"MESTRADO EM CIÊNCIAS APLICADAS À SAÚDE DA MULHER";"12";"";"24";"12";"";"24";"10";"360";"150";"";"0";"210";"0";"0";"";"";"";"0";"";"";"1";"2020";""
"134934351";"LNT-19";"";"98200045";"MESTRADO PROFISSIONAL EM LETRAS";"12";"";"24";"12";"";"24";"24";"360";"120";"";"0";"240";"16";"0";"";"";"";"0";"";"";"1";"2019";""
