,id_curriculo_componente,id_curriculo,id_componente_curricular
190,133799104,133797961,69607
440,133798108,133797961,52791
660,140868914,133797961,26904
775,133799102,133797961,69605
836,133798004,133797961,2054929
1659,133798149,133797961,61129
1667,133798117,133797961,55052
1757,133798094,133797961,55096
1842,133798007,133797961,2054932
2060,133798023,133797961,52990
2389,133799110,133797961,69613
2626,133797970,133797961,62382
3216,151036502,133797961,72710
3837,133798005,133797961,2054930
3848,133798025,133797961,55370
4261,133798055,133797961,61096
4364,133799092,133797961,69594
4838,133798036,133797961,59732
5018,133797993,133797961,2054957
5176,133798115,133797961,52687
5443,133798146,133797961,55062
6175,133798100,133797961,55050
6409,133797985,133797961,23558
6777,151036496,133797961,72713
7397,133799091,133797961,69593
8096,133798088,133797961,55037
8240,136619680,133797961,70884
9024,133799116,133797961,69619
9433,133799118,133797961,69621
9611,133798065,133797961,61087
9637,133798038,133797961,59734
10405,133798093,133797961,55043
10627,133798012,133797961,2054954
11029,133798022,133797961,52975
11248,133798139,133797961,55060
11307,133798130,133797961,52699
11739,133798089,133797961,55094
12197,133798073,133797961,61114
12220,133798067,133797961,61094
12639,133799112,133797961,69615
13048,133797991,133797961,2040950
13185,133798033,133797961,56269
13186,133798132,133797961,52702
13327,133799095,133797961,69597
13808,133798002,133797961,2054927
13824,133798145,133797961,55061
13884,133798028,133797961,20033
13997,133799106,133797961,69609
14002,133798071,133797961,61112
14147,133798085,133797961,55040
14544,133797984,133797961,26931
14645,133798148,133797961,66665
14665,133797963,133797961,43193
14878,133799087,133797961,69590
15042,133798163,133797961,61132
15176,133797968,133797961,55940
15259,133799098,133797961,69601
15534,133797967,133797961,55939
15631,133798113,133797961,52796
16223,133798099,133797961,55049
16360,133798116,133797961,52688
16627,133799096,133797961,69599
16646,133798162,133797961,68510
16790,133798134,133797961,55055
16830,133799097,133797961,69600
16894,133798087,133797961,55039
16988,133798013,133797961,2054955
17404,133798014,133797961,2054956
17453,133798066,133797961,61093
17629,133798109,133797961,52795
17803,137509119,133797961,70970
18248,133798160,133797961,68478
19252,133798114,133797961,52686
19312,133799100,133797961,69603
19637,133798091,133797961,55044
21043,136619679,133797961,70883
21514,133798062,133797961,61084
21715,133798024,133797961,55369
21729,133798020,133797961,52973
21832,133798092,133797961,55095
22079,133799121,133797961,69624
22747,133797974,133797961,26916
22859,133797982,133797961,26924
23314,133799089,133797961,69598
23616,133798084,133797961,55036
24412,133798060,133797961,61101
24835,133798127,133797961,52794
25659,133797989,133797961,21783
25725,133798083,133797961,52673
26367,133797978,133797961,26920
26391,133798072,133797961,61113
26545,133798095,133797961,55042
26715,133798105,133797961,52682
27733,136481511,133797961,68509
27742,133798074,133797961,61115
27842,133797983,133797961,68133
28026,133798001,133797961,2054925
28077,133798126,133797961,52694
28180,139890032,133797961,72274
28993,133798138,133797961,55059
29361,133798011,133797961,2054953
29397,133798068,133797961,61109
29577,133798042,133797961,59738
29663,133798159,133797961,65102
29711,133798027,133797961,25561
29829,133797994,133797961,2054905
30622,134107162,133797961,64879
31216,133798133,133797961,52996
31223,133798125,133797961,52693
31367,133797972,133797961,26908
31715,133798003,133797961,2054928
32134,133798081,133797961,61122
32485,133798141,133797961,55085
32613,133797977,133797961,26919
32734,133798123,133797961,52691
33209,133797973,133797961,26915
33411,133798102,133797961,52792
34547,133798026,133797961,23553
34811,133798096,133797961,55045
35484,133797971,133797961,68447
35529,133799099,133797961,69602
35846,133798098,133797961,55048
36002,133798039,133797961,59735
36436,151006945,133797961,66443
36448,133798063,133797961,61085
36506,133799090,133797961,69592
36707,133798154,133797961,63932
37199,133798122,133797961,52690
37366,133798112,133797961,52793
37681,133797962,133797961,2041507
38184,137397242,133797961,69695
39012,133798010,133797961,2054952
39055,133799101,133797961,69604
39810,133798029,133797961,46256
39834,133798104,133797961,52685
39872,133798000,133797961,2054922
40234,133799086,133797961,69589
41095,133798009,133797961,2054951
41388,133798058,133797961,61099
41432,133798167,133797961,55325
42336,133798031,133797961,51457
42498,133799108,133797961,69611
42785,133798054,133797961,61095
42901,133798165,133797961,65103
43043,133797986,133797961,21764
43254,133798166,133797961,53193
43464,133797976,133797961,26918
43637,133798050,133797961,61105
43914,133798131,133797961,52700
44489,133798051,133797961,61106
44635,133798119,133797961,55054
44758,133798030,133797961,27733
45003,139853022,133797961,72275
45456,151036498,133797961,72715
45492,133797966,133797961,64877
45693,133798124,133797961,52692
45748,133799084,133797961,69587
45784,133799120,133797961,69623
45793,133798147,133797961,66482
45831,133798059,133797961,61100
45912,139850505,133797961,69693
46587,133797987,133797961,21717
46724,133798037,133797961,59733
46802,133799107,133797961,69610
46873,151036495,133797961,72711
47745,133798103,133797961,52789
48141,133798017,133797961,52811
48143,133797992,133797961,2054904
48697,137397243,133797961,69696
49700,133798021,133797961,52974
49743,133798161,133797961,66481
50231,136619677,133797961,70926
51133,134089101,133797961,69698
51290,133798016,133797961,52866
51336,133799119,133797961,69622
51422,133798046,133797961,68476
51427,133798040,133797961,59736
51573,151042306,133797961,52689
51717,133798048,133797961,61103
52304,133799083,133797961,69586
52568,133798043,133797961,59739
52787,133798121,133797961,55083
52914,133797969,133797961,62381
53405,133799113,133797961,69616
54094,133798034,133797961,57806
54187,133798136,133797961,55057
54533,133797999,133797961,2054921
55768,133798070,133797961,61111
55932,133798053,133797961,61108
56019,133798008,133797961,2054950
56117,133798077,133797961,61118
56217,133798064,133797961,61086
56390,133797965,133797961,59634
56933,133798044,133797961,63935
57288,133798061,133797961,61083
57372,134107164,133797961,66426
57458,133798049,133797961,61104
57720,133798110,133797961,52681
57960,133798052,133797961,61107
58059,133797980,133797961,26922
59560,133798069,133797961,61110
59588,151036501,133797961,72717
60349,151036500,133797961,72709
60795,139890031,133797961,72272
60909,137397244,133797961,66439
61273,136619678,133797961,70886
61786,133797998,133797961,2054919
62019,133798111,133797961,52788
62324,133797981,133797961,26923
62388,136619681,133797961,70885
62876,133798032,133797961,52536
62936,133799117,133797961,69620
63059,133798047,133797961,61102
63354,133797975,133797961,26917
63395,133798169,133797961,23557
63667,133799105,133797961,69608
64141,133797964,133797961,26528
64594,133798078,133797961,61119
64678,133798118,133797961,55053
65168,133799088,133797961,69591
65501,133798107,133797961,52684
65820,151036497,133797961,72714
65890,133798106,133797961,52683
66147,133798086,133797961,55038
66213,133798155,133797961,63933
66503,133798157,133797961,65101
66645,133798150,133797961,62886
67049,133798164,133797961,68477
67201,133797988,133797961,21787
67297,133798101,133797961,55051
67484,133798056,133797961,61097
67500,133798135,133797961,55056
68004,134107163,133797961,66424
68193,133798015,133797961,52813
68591,133799111,133797961,69614
68650,133797979,133797961,26921
68740,133799115,133797961,69618
68969,133798075,133797961,61116
69068,133799094,133797961,69596
69443,133798153,133797961,61130
69630,133799114,133797961,69617
69853,133798035,133797961,57807
70617,133798158,133797961,63934
70782,133798120,133797961,55074
71270,133798129,133797961,52698
71283,133798079,133797961,61120
71297,133798057,133797961,61098
71878,133798151,133797961,62887
72016,133798140,133797961,55084
72051,133798006,133797961,2054931
72202,133798156,133797961,63937
72990,133798097,133797961,55047
73120,133798076,133797961,61117
73220,133798082,133797961,52672
73527,133798144,133797961,63936
73748,133799085,133797961,69588
74046,133798137,133797961,55058
74077,133798128,133797961,52697
74143,139652270,133797961,72205
74250,139652269,133797961,72204
74949,133798019,133797961,52972
75315,133798045,133797961,65104
75467,151036499,133797961,72708
75564,133799093,133797961,69595
75657,133798152,133797961,62888
76031,133799082,133797961,69585
76138,139890030,133797961,72273
76378,133798080,133797961,61121
76740,133798168,133797961,23538
76851,133798143,133797961,68482
77167,134107161,133797961,64878
77222,133798041,133797961,59737
77586,133798090,133797961,55041
77727,133799103,133797961,69606
79221,133798142,133797961,68479
79656,133799109,133797961,69612
